time_s,x_m,y_m,z_m,vx_m_s,vy_m_s,vz_m_s,height_m
0,2588190.451,9659258.263,0,-6098.354479,1634.049158,0,3621863
0.1,2587580.61,9659421.649,0,-6098.457632,1633.664136,0,3621863
0.2,2586970.759,9659584.996,0,-6098.560761,1633.279108,0,3621863
0.3,2586360.898,9659748.304,0,-6098.663866,1632.894073,0,3621863
0.4,2585751.027,9659911.575,0,-6098.766946,1632.509032,0,3621863
0.5,2585141.145,9660074.806,0,-6098.870002,1632.123984,0,3621863
0.6,2584531.253,9660237.999,0,-6098.973034,1631.73893,0,3621863
0.7,2583921.35,9660401.154,0,-6099.076041,1631.353869,0,3621863
0.8,2583311.438,9660564.27,0,-6099.179024,1630.968802,0,3621863
0.9,2582701.514,9660727.348,0,-6099.281983,1630.583728,0,3621863
1,2582091.581,9660890.387,0,-6099.384917,1630.198648,0,3621863
1.1,2581481.637,9661053.387,0,-6099.487827,1629.813561,0,3621863
1.2,2580871.684,9661216.35,0,-6099.590713,1629.428468,0,3621863
1.3,2580261.719,9661379.273,0,-6099.693575,1629.043368,0,3621863
1.4,2579651.745,9661542.158,0,-6099.796412,1628.658262,0,3621863
1.5,2579041.76,9661705.005,0,-6099.899225,1628.273149,0,3621863
1.6,2578431.765,9661867.813,0,-6100.002013,1627.88803,0,3621863
1.7,2577821.76,9662030.582,0,-6100.104778,1627.502904,0,3621863
1.8,2577211.744,9662193.313,0,-6100.207518,1627.117772,0,3621863
1.9,2576601.718,9662356.006,0,-6100.310233,1626.732633,0,3621863
2,2575991.682,9662518.66,0,-6100.412924,1626.347488,0,3621863
2.1,2575381.636,9662681.275,0,-6100.515591,1625.962336,0,3621863
2.2,2574771.579,9662843.852,0,-6100.618234,1625.577178,0,3621863
2.3,2574161.512,9663006.391,0,-6100.720852,1625.192014,0,3621863
2.4,2573551.435,9663168.891,0,-6100.823446,1624.806842,0,3621863
2.5,2572941.347,9663331.352,0,-6100.926016,1624.421665,0,3621863
2.6,2572331.25,9663493.775,0,-6101.028562,1624.036481,0,3621863
2.7,2571721.142,9663656.16,0,-6101.131083,1623.65129,0,3621863
2.8,2571111.023,9663818.505,0,-6101.233579,1623.266093,0,3621863
2.9,2570500.895,9663980.813,0,-6101.336052,1622.88089,0,3621863
3,2569890.756,9664143.082,0,-6101.4385,1622.49568,0,3621863
3.1,2569280.607,9664305.312,0,-6101.540924,1622.110463,0,3621863
3.2,2568670.448,9664467.504,0,-6101.643323,1621.725241,0,3621863
3.3,2568060.278,9664629.657,0,-6101.745698,1621.340011,0,3621863
3.4,2567450.099,9664791.772,0,-6101.848049,1620.954776,0,3621863
3.5,2566839.909,9664953.848,0,-6101.950376,1620.569533,0,3621863
3.6,2566229.709,9665115.886,0,-6102.052678,1620.184285,0,3621863
3.7,2565619.498,9665277.885,0,-6102.154956,1619.799029,0,3621863
3.8,2565009.278,9665439.845,0,-6102.257209,1619.413768,0,3621863
3.9,2564399.047,9665601.768,0,-6102.359439,1619.0285,0,3621863
4,2563788.806,9665763.651,0,-6102.461643,1618.643225,0,3621863
4.1,2563178.555,9665925.496,0,-6102.563824,1618.257944,0,3621863
4.2,2562568.293,9666087.303,0,-6102.66598,1617.872657,0,3621863
4.3,2561958.021,9666249.071,0,-6102.768112,1617.487363,0,3621863
4.4,2561347.739,9666410.8,0,-6102.87022,1617.102062,0,3621863
4.5,2560737.447,9666572.491,0,-6102.972303,1616.716756,0,3621863
4.6,2560127.145,9666734.144,0,-6103.074362,1616.331442,0,3621863
4.7,2559516.832,9666895.757,0,-6103.176397,1615.946123,0,3621863
4.8,2558906.51,9667057.333,0,-6103.278407,1615.560797,0,3621863
4.9,2558296.177,9667218.87,0,-6103.380393,1615.175464,0,3621863
5,2557685.834,9667380.368,0,-6103.482355,1614.790125,0,3621863
5.1,2557075.48,9667541.828,0,-6103.584292,1614.40478,0,3621863
5.2,2556465.117,9667703.249,0,-6103.686205,1614.019428,0,3621863
5.3,2555854.743,9667864.631,0,-6103.788093,1613.63407,0,3621863
